component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped1077	0	3.8679587132	0.0000064409	0.9996969620	False
dropped1078	0	3.8470736254	0.0000063715	0.9997033335	False
dropped1079	0	3.8269370876	0.0000063050	0.9997096384	False
dropped1080	0	3.7982017868	0.0000062107	0.9997158491	False
dropped1081	0	3.7919202765	0.0000061901	0.9997220392	False
dropped1082	0	3.7764566566	0.0000061397	0.9997281790	False
dropped1083	0	3.7258862686	0.0000059764	0.9997341554	False
dropped1084	0	3.6872936589	0.0000058532	0.9997400086	False
dropped1085	0	3.6722838348	0.0000058057	0.9997458143	False
dropped1086	0	3.6618896218	0.0000057729	0.9997515872	False
dropped1087	0	3.6585638101	0.0000057624	0.9997573496	False
dropped1088	0	3.6269929561	0.0000056634	0.9997630129	False
dropped1089	0	3.6108377088	0.0000056130	0.9997686259	False
dropped1090	0	3.5985287487	0.0000055748	0.9997742008	False
dropped1091	0	3.5761702356	0.0000055058	0.9997797065	False
dropped1092	0	3.5509861171	0.0000054285	0.9997851350	False
dropped1093	0	3.5264243658	0.0000053537	0.9997904887	False
dropped1094	0	3.5095575229	0.0000053026	0.9997957912	False
dropped1095	0	3.5074432851	0.0000052962	0.9998010874	False
dropped1096	0	3.4838720009	0.0000052252	0.9998063126	False
dropped1097	0	3.4783525260	0.0000052087	0.9998115213	False
dropped1098	0	3.4476987173	0.0000051173	0.9998166386	False
dropped1099	0	3.4136285447	0.0000050166	0.9998216553	False
